song	link	album	lyrics
Bike Boy	https://www.allthelyrics.com/lyrics/blondie/bike_boy-lyrics-102595.html	Def Dumb And Blonde	"Yeah!
Everything is straight.
Everything is great!
Everything is everything and still you make me wait.
What's it gonna take?
I'm gonna pull your chain.
What's up?
What's up?
We can meet up then we'll get it...
yeah, we'll get it...
straight.
Uh huh.
Uh huh.
Hey big boy.
Yeah!
Hey bike boy.
Yeah!
Riding fast.
Riding clean.
Cut it close through the main stream.
Bike boy.
Yeah!
Hey big boy.
Yeah!
Moving fast looking lean.
You say action.
Be extreme.
Hey big boy, you don't think I understand.
I see you riding, riding with no hands.
Hey, everything is great.
Everything is straight!
Everything is everything and still you make me wait.
Hey, what's it gonna take?
I wanna pull your chain!
What's up?
What's up?
We can meet up then we'll get it...
yeah, we'll get it...
Uh huh.
Yeah yeah yeah ooh!
Hey big boy.
Yeah!
Hey bike boy.
Yeah!
Riding fast.
Riding clean.
Cut it close through the main stream.
Bike boy.
Yeah!
Hey big boy.
Yeah!
Moving fast looking lean.
You say action.
Be extreme.
Hey bike boy.
Yeah!
Hey big boy.
Yeah!
Get the message.
Get it quick.
I say reaction.
Tattoo stick.
Hey jet boy.
Yeah!
Hey big boy.
Yeah!
Bending metal.
Burning rubber.
I say action with no other.
Bike boy.
Hey bike boy!
Hey big boy."
Boom Boom In The Zoom Zoom Room	https://www.allthelyrics.com/lyrics/blondie/boom_boom_in_the_zoom_zoom_room-lyrics-102598.html	No Exit	"Passing the match test?
That's some kind of tease, cuz everything rests on the moment the little flame sees.
Let's go boom boom in the zoom zoom room.
If you get past that brief little flash, take down my number with your pencil moustache.
Play truth or dare in the light of a strike anywhere.
Don't follow the fallen already lying down there.
Let's go boom boom in the zoom zoom room.
Oh yeah, uh huh.
Boom boom in the zoom zoom room.
I'll be the cause you can champion.
Your scarlet companion.
And won't it be fine?
Keeping my head above water.
I'm no farmer's daughter.
No clinging vine.
When we trip the light fantastic, a feeling so rare, it will follow your features aligned by the glare...
Let's go boom boom in the zoom zoom room.
Let's go boom boom in the zoom zoom room.
I'll be the cause you can champion.
Your scarlet companion.
And won't it be fun?
I'll keep my head above water.
I'm no farmer's daughter.
No clinging vine.
Passing the match test and no one says thank you cuz they're gone just as fast as a breeze.
Boom boom in the zoom zoom room.
Yeah, let's go boom.
Boom boom in the zoom zoom room.
Ah, let's go, let's go boom boom in the zoom zoom room."
Brite Side	https://www.allthelyrics.com/lyrics/blondie/brite_side-lyrics-102599.html	Def Dumb And Blonde	"Whenever I collapse, whenever I fold in your arms, that's when I know I'm holding you.
Holding you within my grasp.
Whenever I feel trapped, held by the inescapable, I try to put my mind at ease, protect the heart worn on my sleeve.
That's when I feel brand new.
I'm looking on the brite side.
I've got my visuals.
I'm looking on the brite side.
My 20/20's true.
I'm looking on the brite side.
That's when I know it's you.
You.
Whenever I'm in red a guardian angel's flying round my head.
I feel your touch warm as red's embarrassment, innocence' blush.
That's when I feel brand new.
I'm looking on the brite side.
I've got my visuals.
I'm looking on the brite side.
My 20/20's true.
I'm looking on the brite side.
That's when I know it's you.
You.
You.
Whenever I'm in bed I see myself in wide-screen love scenes close-up.
I'm holding you, holding you.
We're wrapped in blue.
I'm looking on the brite side."
Buckle Up	https://www.allthelyrics.com/lyrics/blondie/buckle_up-lyrics-102602.html	Rockbird	"Country cousins stepping out on city sides want to warm you and wish you a lovely time.
Dirty dozens gonna push their pistols, gonna pull their pride.
Oh so friendly flirties change their partners choose up sides.
Buckle up your seat belt baby.
It's gonna be a bumpy ride.
Buckle up your sweet self sugar.
You drive me crazy ya fly me high.
Re re repercussions, echo and the reverbs sigh.
Careless caution, it's not the case but what's inside.
What can pass for safety measures?
You can tell 'em not to wreck your treasures.
No this time, not ever, not next time.
Make secure some sons and lovers.
It's all made clear with see-thru covers.
We're too close, too close for comfort now!
Buckle up that seat belt baby, it's gonna be a bumpity bump.
Buckle up your sweet self sugar, you drive me crazy and I jumpity jump!
Yeah you got to do it.
Yeah there's nothing to it.
It's the law!
Pull over, coming up on some bad road."
Bugeye	https://www.allthelyrics.com/lyrics/blondie/bugeye-lyrics-102603.html	Def Dumb And Blonde	"The way that you look makes me bugeye.
The way that you love makes me high.
The way that you move heats my burner.
The way the you love make me sigh.
The rate of the breakdown is easy as pie.
The tape is to slow down as fish in the sky.
I run through the jungle.
I still wonder why the Monk in the garbage had only one eye.
The way that you look makes me bugeye.
The way that you love makes me high.
The way that you move heats my burner.
The way the you love make me sigh.
The way that you move turns my page over.
They way that you love turns me around.
I'll be you pet when you say roll over.
I'll be your best bet if you'll be my guy.
If you say that's it's over then it's all over me and I think you know what you want it to be.
If you say that's it's over then it's all over me and all that I want is a chance to agree.
The way that you move turns my page over.
They way that you love turns me around.
I'll be you pet when you say roll over.
I'll be your best bet if you'll be my guy.
The way that you look makes me bugeye.
The way that you love makes me high.
The way that you move heats my burner.
The way the you love make me sigh."
Call Me	https://www.allthelyrics.com/lyrics/blondie/call_me-lyrics-102604.html	The Complete Picture - The Very Best Of Deborah Harry And Blondie	"Colour me your colour, baby
Colour me your car
Colour me your colour, darling
I know who you are
Come up off your colour chart
I know where you're comin' from
Call me (call me) on the line
Call me, call me any, anytime
Call me (call me) my love
You can call me any day or night
Call me
Cover me with kisses, baby
Cover me with love
Roll me in designer sheets
I'll never get enough
Emotions come, I don't know why
Cover up love's alibi
Call me (call me) on the line
Call me, call me any, anytime
Call me (call me) oh my love
When you're ready we can share the wine
Call me
Ooo-oo-oo-oo-oo, he speaks the languages of love
Ooo-oo-oo-oo-oo, amore, chiamami, chiamami
Ooo-oo-oo-oo-oo, appelle-moi mon cherie, appelle-moi
Anytime, anyplace, anywhere, any way
Anytime, anyplace, anywhere, any day-ay
Call me (call me) my love
Call me, call me any, anytime
Call me (call me) for a ride
Call me, call me for some overtime
Call me (call me) my love
Call me, call me in a sweet design
Call me (call me), call me for your lover's lover's alibi
Call me (call me) on the line
Call me, call me any, anytime
Call me (call me)
Oh, call me, oo-hoo-hah
Call me (call me) my love
Call me, call me any, anytime
[fade]"
Call Me (Ben Liebrand Remix)	https://www.allthelyrics.com/lyrics/blondie/call_me_ben_liebrand_remix-lyrics-7443.html	Blondie	"Colour me your colour, baby
Colour me your car
Colour me your colour, darling
I know who you are
Come up off your colour chart
I know where you're coming from
Call me (call me) on the line
Call me, call me any, anytime
Call me (call me) my love
You can call me any day or night
Call me
Cover me with kisses, baby
Cover me with love
Roll me in designer sheets
I'll never get enough
Emotions come, I don't know why
Cover up love's alibi
Call me (call me) on the line
Call me, call me any, anytime
Call me (call me) my love
When you're ready we can share the wine
Call me
Ooo-oo-oo-oo-oo, he speaks the languages of love
Ooo-oo-oo-oo-oo, amore, chiamami, chiamami
Ooo-oo-oo-oo-oo, appelle-moi mon cherie, appelle-moi
Anytime, anyplace, anywhere, any way
Anytime, anyplace, anywhere, any day-ay
Call me! (call me, call me, call me, call me)
Take me out and show me off
And put me on the scene
Dress me in the fashions
Of the nineteen-eighteen's
You're a man, no in-between
You know what your words can mean
Call me (call me) my love
Call me, call me any anytime
Call me (call me) for a ride
Call me, call me for some overtime
Call me (call me)in my life
Call me (call me) in a sweet design
Call me, call me for your lover's lover's alibi
Call me (call me) on the line
Call me, call me any, anytime
Call me (call me), ah
Call me, ooh-ooh
Call me (call me) my love
Call me, call me any anytime
Call me (call me) my love
Call me, call me for some sweet delight
Call me (call me), uh-huh
Call me [ad lib]
Call Me!"
Call Me (Debbie Does Dallas)	https://www.allthelyrics.com/lyrics/blondie/call_me_debbie_does_dallas-lyrics-102605.html	Beautiful The Remix Album	"Cover me with kisses, baby.
Cover me with love.
Roll me in designer sheets.
I'll never get enough.
Call me.
Call me on the line.
Call me, call me any anytime.
Call me oh my love.
When you're ready we can share the wine."
Call Me (E-smoove's Beat Vocal Mix)	https://www.allthelyrics.com/lyrics/blondie/call_me_esmooves_beat_vocal_mix-lyrics-102609.html	Remixed Remade Remodeled	"Color me your color, baby.
Color me your car.
Color me your color, darling.
I know who you are.
Come up off your color chart.
I know where you're coming from.
Call me on the line.
Call me, call me any anytime.
Call me, my love, you can call me any day or night.
Call me!
Cover me with kisses, baby.
Cover me with love.
Roll me in designer sheets.
I'll never get enough.
Emotions come, I don't know why.
Cover up love's alibi.
Call me on the line.
Call me, call me any anytime.
Call me oh my love.
When you're ready we can share the wine.
Call me.
Ooh, he speaks the languages of love.
Ooh, amore, chiamami (chiamami).
Oo, appelle-moi, mon cherie (appelle-moi).
Anytime, anyplace, anywhere, anyway!
Anytime, anyplace, anywhere, any day, anyway!
Call me my love.
Call me, call me any anytime.
Call me for a ride.
Call me, call me for some overtime.
Call me my love.
Call me, call me in a sweet design.
Call me, call me for your lover's lover's alibi.
Call me on the line.
Call me, call me any anytime..
Call me.
Oh, call me, ooh ooh ah.
Call me my love.
Call me, call me any anytime."
Call Me (Spanish Version)	https://www.allthelyrics.com/lyrics/blondie/call_me_spanish_version-lyrics-102610.html	Blonde Beyond	"Pintame la vida entera.
Pintame color.
Pintame lo que tu quieras.
Te conosco amor.
Siento asi la sensacion.
Que me colma de emosion.
Call me, aqui estoy.
Call me quando quieras, llamame.
Call me, aqui estoy.
Call me en cualquier momento, llamame.
Cubreme de besos siempre.
Cubreme de amor.
Quiero lo que puedas darme.
Quiero tu calor.
Sentir asi la sensacion.
Que me colma de emosion.
Ooh... hablame de amor.
Ooh... amore, chiamami (chiamami).
Ooh... appele-moi, mon cherie, appele-moi.
Y si estoy desde hoy, yo me doy como soy...
Y si estoy desde hoy, yo me doy como soy...adorar.
Call me, call me for your lover's lover's alibi."
Call Me (Theme From American Gigolo) (Original Single Version)	https://www.allthelyrics.com/lyrics/blondie/call_me_theme_from_american_gigolo_original_single_version-lyrics-102611.html	Platinum Collection	"Color me your color, baby.
Color me your car.
Color me your color, darling.
I know who you are.
Come up off your color chart.
I know where you're coming from.
Call me on the line.
Call me, call me any anytime.
Call me, my love, you can call me any day or night.
Call me!
Cover me with kisses, baby.
Cover me with love.
Roll me in designer sheets.
I'll never get enough.
Emotions come, I don't know why.
Cover up love's alibi.
Call me on the line.
Call me, call me any anytime.
Call me oh my love.
When you're ready we can share the wine.
Call me.
Ooh, he speaks the languages of love.
Ooh, amore, chiamami (chiamami).
Oo, appelle-moi, mon cherie (appelle-moi).
Anytime, anyplace, anywhere, anyway!
Anytime, anyplace, anywhere, any day, anyway!
Call me my love.
Call me, call me any anytime.
Call me for a ride.
Call me, call me for some overtime.
Call me my love.
Call me, call me in a sweet design.
Call me, call me for your lover's lover's alibi.
Call me on the line.
Call me, call me any anytime..
Call me.
Oh, call me, ooh ooh ah.
Call me my love.
Call me, call me any anytime."
Calmarie	https://www.allthelyrics.com/lyrics/blondie/calmarie-lyrics-102612.html	Def Dumb And Blonde	"Neste barco navegando luz, som e color azul desta saudade e o mar e t? calmo,
solid?.Neste barco navegando luz, som e amor azul desta saudade e o mar e t?
calmo, solid?.Aea, la la la, aea, la la la, aea, la la la, aea, eae, e t?
calmo.Aea, la la la, aea ea ea, la la la, aea, ea, eae, e t? calmo, solid?.On
this boat, navigating sunlight, sound and heat and the blue of this longing
that the sea is so calm, solitude.On this boat, navigating sunlight, sound and
heat and the blue of this longing that the sea is so calm, solitude.Ah,
Calmarie.
Ah, Calmarie.Standing ever so still, looking pretty for me.Deep, deep
aquamarine.Ah, Calmarie. Ah, Calmarie.Aea, la la la, aea, la la la, aea, la la
la, aea, eae, e t? calmo.Neste barco navegando luz, som e amor azul desta
saudade e o mar e t? calmo, o mar e t? calmo, o mar e t? calmo, solid?."
