song	link	album	lyrics
Ice Queen	https://www.allthelyrics.com/lyrics/within_temptation/ice_queen-lyrics-39479.html	Mother Earth	"When leaves have fallen
And skies turned into grey.
The night keeps on closing in on the day
A nightingale sings his song of farewell
You better hide for her freezing hell
On cold wings she's coming
You better keep moving
For warmth, you'll be longing
Come on just feel it
Don't you see it?
You better believe it.
When she embraces
Your heart turns to stone
She comes at night when you are all alone
And when she whispers
Your blood shall run cold
You better hide before she finds you
Whenever she is raging
She takes all life away
Haven't you seen?
Haven't you seen?
The ruins of our world
She covers the earth with a breathtaking cloak
The sun awakes and melts it away
The world now opens its eyes and sees
The dawning of a new day
Whenever she is raging
She takes all life away
Haven't you seen?
Haven't you seen?
The ruins of our world"
Ice Queen (Live Acoustic Version)	https://www.allthelyrics.com/lyrics/within_temptation/ice_queen_live_acoustic_version-lyrics-997851.html	Mother Earth [SINGLE]	"When leaves have fallen
And skies turned into grey.
The night keeps on closing in on the day
A nightingale sings his song of farewell
You better hide for her freezing hell
On cold wings she's coming
You better keep moving
For warmth, you'll be longing
Come on just feel it
Don't you see it?
You better believe it.
When she embraces
Your heart turns to stone
She comes at night when you are all alone
And when she whispers
Your blood shall run cold
You better hide before she finds you
Whenever she is raging
She takes all life away
Haven't you seen?
Haven't you seen?
The ruins of our world
She covers the earth with a breathtaking cloak
The sun awakes and melts it away
The world now opens its eyes and sees
The dawning of a new day
Whenever she is raging
She takes all life away
Haven't you seen?
Haven't you seen?
The ruins of our world"
In Perfect Harmony	https://www.allthelyrics.com/lyrics/within_temptation/in_perfect_harmony-lyrics-39487.html	Mother Earth	"In a world so far away
At the end of a closing day
A little child was born and raised
Deep in the forest on a hidden place
Mother never saw his face
Ancient spirits of the forest
Made him king of elves and trees
He was the only human being
Who lived in harmony
In perfect harmony
The woods protected, fulfillled his needs
Fruit by birds, honey by bees
He found shelter under trees
He grew up in their company
They became his family
A thousand seasons
They passed him by
So many times, have said goodbye
And when the spirits called out his name
To join forever, forever to stay
A forest spirit he became"
It's The Fear	https://www.allthelyrics.com/lyrics/within_temptation/its_the_fear-lyrics-320001.html	The Silent Force	"It Awaits For The Day
Will Let It Out
Give It A Reason
To Give It It's Might
Fear Of Who Im Becoming
I Fear That Im Losing
The Struggle With In
I Can No Longer Restrain It
My Strength, Its is Fading
I Have To Give In
Chorus
It's The Fear Of The Dark
It's Growing Inside Of Me
They Won They Will Hunt Tonight
Have To Save All The Love
There Is No Escaping
Cause My Faith Is Our Doom
Hold Down Your Head Now
Just Let Me Pass By
Don't Feed My Fear
Don't Want It Out
I Fear For Who Im Becoming
I Fear that Im Losing
All Beauty Within
I Can No Longer Restrain It
My Strength It Is Fading
I Have To Give In
Chorus
Long Ago He Came To Me
Im Ever Since That Day
Infected With It's Rage
For Us To Take
Chorus"
Jane Doe	https://www.allthelyrics.com/lyrics/within_temptation/jane_doe-lyrics-325539.html	Mother Earth	"[Unreleased Bonus track]
Why, you just won't leave my mind ?
Was this the only way ?
I couldn't let you stay ?
Run away, hide away
the secrets in your mind.
Sacrificed just her life,
for a higher love
No matter how many stones you put inside.
She'll always keeps on floating in your mind.
With every turn of your head you see her face again,
until the end, over and over again.
Why, you just won't leave my mind ?
Was this the only way ?
I couldn't let you stay ?
Told the truth she laughed at you.
Something snapped inside.
She had to go or they would know,
all you tried to hide
The sins of your life are now catching up with you.
You can't stay ahead. There's nothing you can do.
With every turn of your head you see her face again,
until the end, over and over again.
Why, you just won't leave my mind ?
Was this the only way ?
I couldn't let you stay ?"
Jillian (I'd Give My Heart)	https://www.allthelyrics.com/lyrics/within_temptation/jillian_id_give_my_heart-lyrics-579237.html	The Silent Force	"I've Been Dreaming For So Long
To Find The Meaning
To Understand
The Secret Of Life
Why Am I Here
To Try Again
We'll Always
We'll Always
See The Truth,
When Its Stares Ya In The Face
Will I Ever
Will I Never Free Myself
Breaking These Chains
Chorus
In My Heart In My Soul
I Turn It Back It's My Fault
Your Destiny Is Forlorn
After The Turning Sun
In My Heart In My Soul
I Turn It Back
And Then I've Lost
My Key On The Way
I've Been Living For So Long
Many Seasons Past Me By
I've Seen Kindoms Through Ages
Rise And Fall
I've Seen It All
I've Seen The Horror
I've Seen The Wonders
Happing Just In Front Of My Eyes
Will I Ever
Will I Never Free Myself By Breaking It Right?
Chorus
Jillian
Our Dream Ended Long Ago
All Our Stories
And All Our Glories
I Held So Dear
We Won't Be Together For Ever and Ever
No More Tears
I'll Always Be Here
'Till The End
""Voices"" Jillian
Chorus"
Memories	https://www.allthelyrics.com/lyrics/within_temptation/memories-lyrics-223114.html	The Silent Force	"*Whisper* Memories, memories, memories
In this world you tried
Not leaving me alone behind
There's no other way
I'll pray to the gods: let him stay
The memories ease the pain inside
Now I know why
REF:
All of my memories
Keep you near
It's all about us
Imagine you'd be here
All of my memories
Keep you near
The silent whispers
The silent tears
Made me promise I'd try
To find my way back in this life
I hope there is away
To give me a sign you're okay
Reminds me again
It's worth it all
So I can go home
REF
Together in all these memories
I see your smile
All the memories I hold dear
Darling you know I love you till the end of time
REF"
Memories (Live)	https://www.allthelyrics.com/lyrics/within_temptation/memories_live-lyrics-1152032.html	Memories	"*Whisper* Memories, memories, memories
In this world you tried
Not leaving me alone behind
There's no other way
I'll pray to the gods: let him stay
The memories ease the pain inside
Now I know why
REF:
All of my memories
Keep you near
It's all about us
Imagine you'd be here
All of my memories
Keep you near
The silent whispers
The silent tears
Made me promise I'd try
To find my way back in this life
I hope there is away
To give me a sign you're okay
Reminds me again
It's worth it all
So I can go home
REF
Together in all these memories
I see your smile
All the memories I hold dear
Darling you know I love you till the end of time
REF"
Mother Earth	https://www.allthelyrics.com/lyrics/within_temptation/mother_earth-lyrics-39478.html	Mother Earth	"Birds and butterflies
Rivers and mountains she creates
But you'll never know
The next move she'll make
You can try
But it is useless to ask why
Cannot control her
She goes her own way
She rules until the end of time
She gives and she takes
She rules until the end of time
She goes her own way
With every breath
And all the choices that we make
We are only passing through on her way
I find my strength
Believing that your soul lives on
Until the end of time
I'll carry it with me
Once you will know my dear
You don't have to fear
A new beginning always starts at the end
Until the end of time
She goes her own way"
Mother Earth (Single Version)	https://www.allthelyrics.com/lyrics/within_temptation/mother_earth_single_version-lyrics-997848.html	Mother Earth [SINGLE]	"Birds and butterflies
Rivers and mountains she creates
But you'll never know
The next move she'll make
You can try
But it is useless to ask why
Cannot control her
She goes her own way
She rules until the end of time
She gives and she takes
She rules until the end of time
She goes her own way
With every breath
And all the choices that we make
We are only passing through on her way
I find my strength
Believing that your soul lives on
Until the end of time
I'll carry it with me
She rules until the end of time
She gives and she takes
She rules until the end of time
She goes her own way"
Never Ending Story (Live Acoustic Version)	https://www.allthelyrics.com/lyrics/within_temptation/never_ending_story_live_acoustic_version-lyrics-997850.html	Mother Earth [SINGLE]	"Armies have conquered
And fallen in the end
Kingdoms have risen
Then buried by sand
The Earth is our mother
She gives and she takes
She puts us to sleep and
In her light we'll awake
We'll all be forgotten
There's no endless fame
But everything we do
Is never in vain
We're part of a story, part of a tale
We're all on this journey
No one is to stay
Where ever it's going
What is the way?
Forests and deserts
Rivers, blue seas
Mountains and valleys
Nothing here stays
While we think we witness
We are part of the scene
This never-ending story
Where will it lead to?
The earth is our mother
She gives and she takes
But she is also a part
A part of the tale
We're part of a story, part of a tale
We're all on this journey
No one is to stay
Where ever it's going
What is the way?
We're part of a story, part of a tale
Sometimes beautiful and sometimes insane
N o one remembers how it began."
Never-ending Story	https://www.allthelyrics.com/lyrics/within_temptation/neverending_story-lyrics-39484.html	Mother Earth	"Armies have conquered
And fallen in the end
Kingdoms have risen
Then buried by sand
The Earth is our mother
She gives and she takes
She puts us to sleep and
In her light we'll awake
We'll all be forgotten
There's no endless fame
But everything we do
Is never in vain
We're part of a story, part of a tale
We're all on this journey
No one is to stay
Where ever it's going
What is the way?
Forests and deserts
Rivers, blue seas
Mountains and valleys
Nothing here stays
While we think we witness
We are part of the scene
This never-ending story
Where will it lead to?
The earth is our mother
She gives and she takes
But she is also a part
A part of the tale
We're part of a story, part of a tale
We're all on this journey
No one is to stay
Where ever it's going
What is the way?
We're part of a story, part of a tale
Sometimes beautiful and sometimes insane
No one remembers how it began."
Our Farewell	https://www.allthelyrics.com/lyrics/within_temptation/our_farewell-lyrics-39480.html	Mother Earth	"In my hands
A legacy of memories
I can hear you say my name
I can almost see your smile
Feel the warmth of your embrace
But there is nothing but silence now
Around the one I loved
Is this our farewell?
Sweet darling you worry too much, my child
See the sadness in your eyes
You are not alone in life
Although you might think that you are
Never thought
This day would come so soon
We had no time to say goodbye
How can the world just carry on?
I feel so lost when you are not by my side
But there's nothing but silence now
Around the one I loved
Is this our farewell?
So sorry your world is tumbling down
I will watch you through these nights
Rest your head and go to sleep
Because my child, this not our farewell.
This is not our farewell."
Our Solemn Hour	https://www.allthelyrics.com/lyrics/within_temptation/our_solemn_hour-lyrics-1002427.html	Heart Of Everything	"Our Solemn Hour
Santus, espiritus, redeem us from our solemn hour
Santus, espiritus, insanity is all around us
(santus, espiritus...)
In my darkest hours
I could not foresee
That the time could turn so fast to this degree
Can't believe my eyes
How can you be so blind
Is the heart of stone nowhere but fear inside
Time keeps on slipping away
And we haven't learned
So in the end they won't have free sky
Santus, espiritus, redeem us from our solemn hour
Santus, espiritus, insanity is all around us
Santus, espiritus is this what we deserve
Can we break free
From chains of neverending agony
Aren't they themselves to blame
The misery, the pain
That I will let go
Allow to let it grow
If we can't restrain
The beast which dwells inside
It will find its way somehow, somewhere in time
Will we remember all of the suffering
Cause if we may heal the fear in vain
Santus, espiritus, redeem us from our solemn hour
Santus, espiritus, insanity is all around us
Santus, espiritus is this what we deserve
Can we break free
From chains of neverending agony
Santus, espiritus
Santus, espiritus
Santus, espiritus, redeem us from our solemn hour
Santus, espiritus, insanity is all around us
Santus, espiritus is this what we deserve
Can we break free
From chains of neverending agony
Santus, espiritus, redeem us from our solemn hour
Santus, espiritus, insanity is all around us
Santus, espiritus is this what we deserve
Can we break free
From chains of neverending agony"
Overcome	https://www.allthelyrics.com/lyrics/within_temptation/overcome-lyrics-866367.html	The Silent Force	"Where are the heroes
In my time of need
Is my crying abandoned?
Or have they gone Oh no
They just tend to stand
Out of the rain
Thinking but not acting
That they're not to blame
Falling and crawling
A fight to stand up
Memory still haunts me
In the dead of night
Over and over
I felt so small
But one day I'll be stronger
And you better watch out
I will overcome
In violence there's silence
Oh no, It can't be undone
I will overcome
Knowing that I'm not the only one
I will overcome
It's the only way to carry on
Where are the saviours
Afraid of the toll
Sorry do my nine inch nails
Slash your soul?
Such heroes
Throwing stones
Straight at the one
Who is standing alone?
Twisting and turning
It's always the same
The truth is never honest
When you're to blame
Pushing and pulling
Never give in
One day I wish
You see you're not so beautiful within
Run and run"
Pale	https://www.allthelyrics.com/lyrics/within_temptation/pale-lyrics-219823.html	The Silent Force	"The World Seems Not The Same
Though I Know Nothing Has Changed
It's All My State Of Mind
I Can't Leave It All Behind
Have To Stand Up To Be Stronger
Chorus
Have To Try
To Break Free
From The Thoughts In My Mind
Use The Time That I Have
I Can Say Goodbye
Have to Make It Right
Have To Find
Cause I Know In The End It's Worth While
That The Pain That I Feel Slowly Fades Away
It Will Be Alright
I Know
I Should Realize
Time Is Precious
It Is Worth While
Despite How I Feel Inside
Have To Trust It'll Be Alright
Have To Stand Up To Be Stronger
Chorus
This Night Is Too Long
Have No Strength To Go On
No More Pain Im Falling Away
Through The Mist See The Face
Of An Angel, Calls My Name
I Remember You're The Reason I have To Stay
Chorus"
Pearls Of Light	https://www.allthelyrics.com/lyrics/within_temptation/pearls_of_light-lyrics-39520.html	Enter	"After,
the cold darkness,
in the heart of the forest.
Where birds are singing,
for the new born sun
In the womb of the leaves,
on the branches of the trees,
lies the treasure of the morning,
the pearls of light.
Carriedd away by thee truculence of my world,
I got lost in the surch for enlightment,
The blue ran,
Covereed my roots and I forgot where I came from.
Carriedd away by thee truculence of my world,
I got lost in the surch for enlightment,
The blue ran,
Covereed my roots and I forgot where I came from."
Restless	https://www.allthelyrics.com/lyrics/within_temptation/restless-lyrics-39499.html	Enter	"She embraced, with a smile
As she opened the door.
A cold wind blows, it puts a chill into
her heart.
You have taken away the trust,
you're the ghost haunting through her heart.
Past and present are one in her head,
you're the ghost haunting through her heart.
Take my hand as I wonder through,
All my life I gave to you.
Take my hand as I wonder through,
All my love I gave to you.
You have taken away the trust,
you're the ghost haunting through her heart.
Take my hand as I wonder through,
All my life I gave to you.
Take my hand as I wonder through,
All my love I gave to you."
Restless (Classical Version)	https://www.allthelyrics.com/lyrics/within_temptation/restless_classical_version-lyrics-599612.html	Mother Earth	"She embraced, with a smile
As she opened the door
A cold wind blows, it puts a chill into her heart
You have taken away the trust,
you're the ghost haunting through her heart
Past and present are one in her head,
you're the ghost haunting through her heart
Take my hand as I wander through
All of my life I gave to you
Take my hand as I wander through
All of my love I gave to you
You have taken away the trust,
you're the ghost haunting through her heart
Take my hand as I wander through
All of my life I gave to you
Take my hand as I wander through
All of my love I gave to you"
