song	link	album	lyrics
Born To Lose	https://www.allthelyrics.com/lyrics/black_sabbath/born_to_lose-lyrics-104029.html	Eternal Idol	"I'll play your game
But if you lose you're gonna have to pay the price
Broken chains, like a prisoner free at last
The fear inside just up and died
Time will tell if i am wrong
It won't be too long
You think I'm chasing shadows In the dark
Well I'm not born to lose
I'm not born to lose
You curse my name, as you turn and walk away, from view
It won't be too long
You don't scare me cos you're
Hard to see and it's time
That you were gone
It won't be too long
You think I'm chasing shadows In the dark
Well I'm not born to lose
You think I'm chasing shadows In the dark
What you gonna do about it now
What you gonna do about it now
It won't be too long
It won't be too long
It won't be too long
You think I'm chasing shadows In the dark
What you gonna do about it now
What you gonna do about it now
Ain't nothing I can do about it now"
Buried Alive	https://www.allthelyrics.com/lyrics/black_sabbath/buried_alive-lyrics-104031.html	Dehumanizer	"Once upon a nightmare
Once upon a time
You're running from temptation
You got lost
And found that you don't
Belong to anybody
You're all the same
Just another number
Cross it out
Whenever you don't behave
Someone got the doctor
He knows what to do
Throw some bones and mumble
The devil's inside of you
It might be contagious
It might change the plan
Get back in your tiny boxes
Even if you can't
We say you can
Join the congregation
Everybody's got to get in line and
We never justify
The choir sings a never-ending lie
Pre-chorus:
When you thought you were free
You didn't need a reason
No reason to survive
Chorus:
As the big door closes
And you waiting for the nail
Somebody tell the world
You're buried alive
Once upon a nightmare
Once upon a time
You're running from tomorrow
You got lost
And found that another
Day has turned to ashes
Taken by the wind
Frozen seeds of sorrow
Never to begin
Join the celebration
And everybody's got to get in line and
We never justify
The choir sings a never-ending lie
Pre-chorus:
When you thought you were free
You did not need a reason
No reason to survive
Chorus:
As the big door closes
And you waiting for the mail
Somebody tell the world
You're buried alive
One more nightmare
Just one more time
Join the congregation
Everybody get in line
Celebration
The choir sings a lie
As you call
The hammer falls
And no one hears you cry
I'm buried alive"
Call Of The Wild	https://www.allthelyrics.com/lyrics/black_sabbath/call_of_the_wild-lyrics-104032.html	Headless Cross	"In this last and final hour, you can't hide
There's nowhere now that you can run
All eyes are on you, like a lost Eternal Light
Princes and Kings, Demons with wings
Summon your fears from hell
It's the call of the wild  Calling you
In this last macabre hour, witches cry
and turn to dust before the moon
Many spirits are lost forever, but one survives
To call the tune of lucifer
It's the call of the wild  Calling you
Hero, only in the grave are there no dreams
Hero, don't beleive in fate, it ain't what it seems
All you gotta do now is stay free
You're the one they turn to when hell screams
Fear of the devil has no place among the brave
Faced with pain, there's a battle to be won
All eyes are on you, like a lost Eternal Light
Princes and Kings, Demons with wings
Summon your fears from hell
It's the call of the wild  Calling you
Hero, only in the grave are there no dreams
Hero, don't beleive in fate, it ain't what it seems
Hero, only in the grave are there no dreams
Hero, don't beleive in fate, it ain't what it seems
Hero, you got the fear of the devil burning your soul
Hero, It's the call of the wild
Hero, Tearing your soul"
Can't Get Close Enough	https://www.allthelyrics.com/lyrics/black_sabbath/cant_get_close_enough-lyrics-104033.html	Forbidden	"How many tears must we cry before learning,
Things that we have they're for real and we're losing,
Can't get close enough to you, 'cause you're just too far away.
Why do you believe that we've got something coming,
You took it all, left me standing here with nothing,
Can't get close enough to you, 'cause you're just too far away,
Too far away.
In your world you must be dreaming, if you think you can survive,
Taking all and giving nothing that's a crime.
What makes you something special, what about me, I'm here too,
You don't care what I'm feeling and that's the truth.
Can't get close enough to you, 'cause you're just too far away.
All I need is understanding and the right to survive,
Only you could see the warnings, and pass them by.
What makes you something special, what about me, I'm here too,
You don't care what I'm feeling and that's the truth.
Can't get close enough to you, 'cause you're just too far away.
Too far away.
Can't get close enough to you, 'cause you're just too far away.
How many tears must we cry before learning,
Things that we had they're for real and we're losing,
Can't get close enough to you, 'cause you're just too far away.
Too far away, too far away, too far away."
Cardinal Sin	https://www.allthelyrics.com/lyrics/black_sabbath/cardinal_sin-lyrics-358512.html	Cross Purposes	"Where Do You Go When Your Conscience Takes Over
Do You Crawl To Your Corner And Cry.
Did You Imagine, That No One Would Notice
Just A Secret To Take When You Die.
All The World Is Watching You, Every Tongue Is Screaming Fool.
How Are Your Dreams, Do They Claw At Your Sleep
Making Darkness A Place You Despise,
Where Is The God, That Once Was Your Strength
Are You Sure He Was There From The Start.
All The World Is Watching You, Nowhere You Can Hide,
Every Tongue Is Screaming Fool, Only Satan Hears Your Cries.
When You Sin Cardinal Sin, You Make Your Bed And On It You Must Lie,
And Your Futures Looking Grim, But Did You Ever Give A Damn
About The Child, He's Running Wild.
When You Sin Cardinal Sin, Don't Expect The World Will Treat You Well,
We Say Oh, Go To Hell.
We Point The Finger, Sin Cardinal Sin, Laugh In Your Face, Sin Cardinal Sin,
We Point The Finger, Laugh In Your Face,
Cos You're No Better Than The Rest Of The Human Race.
Oh Sin Cardinal Sin, Oh Sin Cardinal Sin."
Changes	https://www.allthelyrics.com/lyrics/black_sabbath/changes-lyrics-7145.html	Vol 4	"I feel unhappy, I feel so sad
I've lost the best friend, that I ever had.
She was my woman, I love her so.
But it's too late now, I've let her go.
I'm going through changes.
I'm going through changes.
We shared the years, we shared each day.
In love together, we found a way.
But soon the world, had it's evil way.
My heart was blinded, love went astray.
I'm going through changes.
I'm going through changes.
It took so long, to realize.
And I can still hear her last goodbyes.
Now all my days, are filled with tears.
Wish I could go back, and change these years.
I'm going through changes.
I'm going through changes."
Children Of The Grave	https://www.allthelyrics.com/lyrics/black_sabbath/children_of_the_grave-lyrics-32392.html	Master Of Reality	"In the misty morning, on the edge of time
We've lost the rising sun, a final sign
As the misty morning rolls away to die
Reaching for the stars, we blind the sky
We sailed across the air before we learned to fly
We thought that it could never end
We'd glide above the ground before we learned to run, run
Now it seems our world has come undone
Oh they say that it's over
And it just had to be
Ooh they say that it's over
We're lost children of the sea, oh
We made the mountains shake with laughter as we played
Hiding in our corner of the world
Then we did the demon dance and rushed to nevermore
Threw away the key and locked the door
Oh they say that it's over, yeah
And it just had to be
Yes they say that it's over
We're lost children of the sea
In the misty morning, on the edge of time
We've lost the rising sun, a final sign
As the misty morning rolls away to die
Reaching for the stars, we blind the sky
Oh they say that it's over, yeah
And it just had to be
Oh they say that it's over
Poor lost children of the sea, yeah
LOOK OUT! The sky is falling down!
LOOK OUT! The world is spinning round and round and round!
LOOK OUT! The sun is going black, black
LOOK OUT! It's never never never coming back, LOOK OUT!"
Computer God	https://www.allthelyrics.com/lyrics/black_sabbath/computer_god-lyrics-104039.html	Dehumanizer	"Waiting for the revolution
New clear vision - genocide
Computerize god - it's the new religion
Program the brain - not the heartbeat
Onward all you crystal soldiers
Touch tomorrow - energize
Digital dreams
And you're the next correction
Man's a mistake so we'll fix it, yeah
Take a look at your own reflection
Right before your eyes
It turns to steel
There's another side of heaven
This way - to technical paradise
Find it on the other side
When the walls fall down
Love is automatic pleasure
Virtual reality
Terminal hate - it's a calculation
Send in the child for connection
Take a look at the toys around you
Right before your eyes
The toys are real
There's another side of heaven
This way - to technical paradise
Find it on the other side
When the walls fall down
Midnight confessions
Never heal the soul
What you believe is fantasy
Your past is your future
Left behind
Lost in time
Will you surrender
Waiting for the revolution
Program the brain
Not the heartbeat
Deliver us to evil
Deny us of our faith
Robotic hearts bleed poison
On the world we populate
Virtual existence
With a superhuman mind
The ultimate creation
Destroyer of mankind
Termination of our youth
For we do not compute
No !"
Cornucopia	https://www.allthelyrics.com/lyrics/black_sabbath/cornucopia-lyrics-7148.html	Vol 4	"Too much in the truth they say
Keep it 'till another day
Let them have their little game
Illusion helps to keep them sane
Let them have their little toys
Fast sports cars and motor noise
Exciting in their plastic place
Frozen food in a concrete maze
You're gonna go insane
I'm trying to save your brain
I don't know what's happening
My head's all torn inside
People say I'm heavy
They don't know what I hide
Take a life, it's going cheap
Kill someone, no one will weep
Freedom's yours, just pay your dues
We just want your soul to use
You're gonna go insane
I'm trying to save your brain"
Country Girl	https://www.allthelyrics.com/lyrics/black_sabbath/country_girl-lyrics-104041.html	Mob Rules	"Fell in love with a country girl, morning sunshine
She was up from a nether world, just to bust another soul
Her eyes were an endless flame, holy lightning
Desire with a special name, made to snatch your soul away, yeah
We sailed away on a crimson tide, gone forever
Left my heart on the other side, all to break it into bits
Her smile was a winter song, a Sabbath ending
Don't sleep or you'll find me gone, just an image in the air
In dreams I think of you
I don't know what to do with myself
Time has let me down
She brings broken dreams, fallen stars,
the endless search for where you are
(sail on, sail on)
Fell in love with a country girl, morning sunshine
She was up from a nether world, just to bust another soul
Her eyes were an endless flame, unholy lady
Desire with a special name, made to snatch your soul away, oh!
Don't sail away on a crimson tide!
Don't leave your heart on the other side!
Her eyes are an endless flame
Desire with a special name
Don't ever fall in love!
Don't give your heart away!
No never, never fall in love with a country girl!"
