song	link	album	lyrics
Comatose	https://www.allthelyrics.com/lyrics/depeche_mode/comatose-lyrics-33727.html	Album: Exciter	"Comatose, almost
You've got me dreaming
Slipping in
And Sliding out
Of conscious feeling
Take a light
Start the flame
Play the game
I am lost
In your eyes
Hypnotised
Here I believe
Dreams never deceive
Comatose, almost
You've got me dreaming
Slipping in
And sliding out
Life has no meaning
Bodies move
Colours change
Girl you're strange
Here inside
I'm at home
I'm alive
Don't be afraid
I'm floating away
Comatose, almost
You've got me dreaming
Slipping in
And sliding out
Of conscious feeling
Comatose, almost
Comatose, almost
Comatose."
Come Back	https://www.allthelyrics.com/lyrics/depeche_mode/come_back-lyrics-1306087.html	Album: Sounds Of The Universe	"Come back, come back to me
I'll be waiting patiently
Come back, come back to me
I'll be waiting here patiently
Walking a thin white line between love and hate
Wasting all my time in another world
In another place
I could use a little company
A little kindness could go a long way
Weeks turn into months
Months turn into years
Reaching the same conclusions
Gathering up the fear
Come back, come back to me
I'll be waiting patiently
Come back, come back to me
I'll be waiting here patiently
Light will always shine in the heart of you
In truth and in reality
Only blindness can hide it away
I could use a little restraint
A little kindness can go a long way
Weeks turn into months
Months turn into years
Reaching the same conclusions
Gathering up the fear
Living the same delusions
Gathering up the fear
Gathering up the fear
Gathering up the fear
Gathering up the fear
Come back
Come back
Come back
Come back
Come back"
Coming Back To You	https://www.allthelyrics.com/lyrics/depeche_mode/coming_back_to_you-lyrics-440727.html	Album: Speak Spell	"Maybe I'm still hurting
I can't turn the other cheek
But you know that I still love you
It's just that I can't speak
I looked for you in everyone
And they called me on that too
I lived alone but I was only
Coming back to you
Ah they're shutting down the factory now
Just when all the bills are due
And the fields they're under lock and key
Though the rain and the sun come through
And springtime starts but then it stops
In the name of something new
And all the senses rise against this
Coming back to you
And they're handing down my sentence now
And I know what I must do
Another mile of silence while I'm
Coming back to you
There are many in your life
And many still to be
Since you are a shining light
There's many that you'll see
But I have to deal with envy
When you choose the precious few
Who've left their pride on the other side of
Coming back to you
Even in your arms I know
I'll never get it right
Even when you bend
To give me comfort in the night
I've got to have your word on this
Or none of it is true
And all I've said was just instead of
Coming back to you"
Compulsion	https://www.allthelyrics.com/lyrics/depeche_mode/compulsion-lyrics-440726.html	Album: Speak Spell	"Charms in limited supply
And refusing to stretch
That indefinable nothing
Somehow keeps pushing you
Finding the right words
Can be a problem
How many times must it be said
There's no plan
It had to happen
Got to move on sometime
And it's about time
By putting one foot in front on another
And repeating the process
Cross over the street
You're free to change your mind
Strength through diversity
Couldn't have put it more plainly
Got to move on sometime
Got to move on sometime
Got to move on sometime
Got to move on sometime
Charms in limited supply
Under threat of extinction
That indefinable nothing
Somehow motivates you
Finding the right words
Can be a problem
How many times must it be said
There's no plan
It had to happen
Got to move on sometime
And it's about time
By putting one foot in front on another
And repeating the process
Cross over the street
You're free to change your mind
Strength through diversity
Couldn't have put it more plainly
Got to move on sometime"
Condemnation	https://www.allthelyrics.com/lyrics/depeche_mode/condemnation-lyrics-46531.html	Album: The Singles 86>98	"Condemnation
Tried
Here on the stand
With the book in my hand
And truth on my side
Accusations
Lies
Hand me my sentence
I'll show no repentance
I'll suffer with pride
If for honesty
You want apologies
I don't sympathize
If for kindness
You substitute blindness
Please open your eyes
Condemnation
Why
Because my duty
Was always to beauty
And that was my crime
Feel elation
High
To know I can trust this
Fix of injustice
Time after time
If you see purity
As immaturity
Well it's no surprise
If for kindness
You substitute blindness
Please open your eyes"
Corrupt	https://www.allthelyrics.com/lyrics/depeche_mode/corrupt-lyrics-1306091.html	Album: Sounds Of The Universe	"I could corrupt you
In a heart beat
You think you're so special
Think you're so sweet
What are you trying don't even tempt me
Soon you'll be crying, unwishing you dreamt of be
You'll be calling out my name
When you need someone to blame
I could corrupt you
It would be easy
Watching you suffer
Girl, it would please me
But I wouldn't touch you
With my little finger
I know it would crush you
My memory would linger
You'd be crying out in pain
Begging me to play my games
I could corrupt you
It would be ugly
They could sedate you
But i wanna touch you with my hands on your hips
It would be too much to
Place my lips on your lips
You'd be calling out my name
Begging me to play my games"
Dangerous	https://www.allthelyrics.com/lyrics/depeche_mode/dangerous-lyrics-46384.html	Album: A Broken Frame	"The things you do
Aren't good for my health
The moves you make
You make for yourself
The means you use
Aren't meant to confuse
Although they do
They're the ones that I would choose
And I wouldn't want it any other way
You wouldn't let me anyway
Dangerous
The way you leave me wanting more
Dangerous
That's what I want you for
Dangerous
When I am in your arms
Dangerous
Know I will come to harm
The lies you tell
Aren't meant to deceive
They're not there
For me to believe
I've heard
Your vicious words
You know by now
It takes a lot to see me hurt
And I couldn't take it any other way
But there's a price I have to pay"
Death's Door	https://www.allthelyrics.com/lyrics/depeche_mode/deaths_door-lyrics-46383.html	Album: A Broken Frame	"Well I'm knocking on Death's door
Will I take my rest, among the blessed
Mother are you waiting
Father are you pacing
I'm coming home
I'm knocking on Death's door
Will I take my rest, in my Sunday best
Mother are you anxious
Father are you gracious
I'm coming home
I've been away too long
For so long you've been strong
I've been away too long
I know that it was wrong
But I'm coming home
Well I'm knocking on Death's door
Will I take my rest, have I passed the test
Mother are you praying
Father I am saying
I'm coming home"
Dirt	https://www.allthelyrics.com/lyrics/depeche_mode/dirt-lyrics-372815.html	Album: I Feel Loved, Pt. 1	"Ooh, I've been dirt
And I don't care
Ooh, I've been dirt
And I don't care
'Cause I'm burning inside
'Cause I'm burning inside
I'm the fire of life
Yeah alright
Ooh, I've been hurt
And I don't care
Ooh, I've been hurt
And I don't care
'Cause I'm burning inside
'Cause I'm burning inside
And do you feel it
Said do you feel it when you touch me
I said do you feel it when you touch me
I'm a fire
Well there's a fire
Yeah, alright
It's just a burning inside
It's just a burning inside
Said do you feel it
Said do you feel it when you cut me
Said do you feel it when you cut me
There's a fire
There's a fire
A fire
Inside
It was just a dreaming"
Dream On	https://www.allthelyrics.com/lyrics/depeche_mode/dream_on-lyrics-33721.html	Album: Exciter	"As your bony fingers close around me
Long and spindly
Death becomes me
Heaven can you see what I see
Hey you pale and sickly child
You're death and living reconciled
Been walking home a crooked mile
Paying debt to karma
You party for a living
What you take won't kill you
But careful what you're giving
There's no time for hesitating
Pain is ready, pain is waiting
Primed to do it's educating
Unwanted, uninvited kin
It creeps beneath your crawling skin
It lives without it lives within you
Feel the fever coming
You're shaking and twitching
You can scratch all over
But that won't stop you itching
Can you feel a little love
Can you feel a little love
Dream on dream on
Blame it on your karmic curse
Oh shame upon the universe
It knows its lines
It's well rehearsed
It sucked you in, it dragged you down
To where there is no hallowed ground
Where holiness is never found
Paying debt to karma
You party for a living
What you take won't kill you
But careful what you're giving
Can you feel a little love
Can you feel a little love
Dream on dream on"
